paper_id,title,venue,year,extract_status,sentence_index,sentence_role,sentence_count,abstract_flow,opening_style,problem_style,method_style,evidence_style,claim_strength,number_style,verb_or_adjective_cue,short_phrase_hint,what_to_imitate,what_not_to_imitate
rotrng_abs_01,Lightweight TRNG Based on Multiphase Timing of Bistables,TCASI,2016,ok,1,numbers,12,numbers -> problem_or_method -> numbers -> supporting_detail -> numbers -> supporting_detail -> evidence -> numbers -> evidence -> numbers,context-led opening,measurement/modeling gap,propose,quantified results|FPGA implementation|measurement,neutral/bounded,plain numeric (5 numeric tokens),present,omitted: use role labels/templates instead of copying source wording,把问题写成可测量/可建模的 gap；数字集中放在证据句，不让开头变成流水账,不要把过多数字塞进摘要
rotrng_abs_01,Lightweight TRNG Based on Multiphase Timing of Bistables,TCASI,2016,ok,2,problem_or_method,12,numbers -> problem_or_method -> numbers -> supporting_detail -> numbers -> supporting_detail -> evidence -> numbers -> evidence -> numbers,context-led opening,measurement/modeling gap,propose,quantified results|FPGA implementation|measurement,neutral/bounded,plain numeric (5 numeric tokens),,omitted: use role labels/templates instead of copying source wording,把问题写成可测量/可建模的 gap；数字集中放在证据句，不让开头变成流水账,不要把过多数字塞进摘要
rotrng_abs_01,Lightweight TRNG Based on Multiphase Timing of Bistables,TCASI,2016,ok,3,numbers,12,numbers -> problem_or_method -> numbers -> supporting_detail -> numbers -> supporting_detail -> evidence -> numbers -> evidence -> numbers,context-led opening,measurement/modeling gap,propose,quantified results|FPGA implementation|measurement,neutral/bounded,plain numeric (5 numeric tokens),propose,omitted: use role labels/templates instead of copying source wording,把问题写成可测量/可建模的 gap；数字集中放在证据句，不让开头变成流水账,不要把过多数字塞进摘要
rotrng_abs_01,Lightweight TRNG Based on Multiphase Timing of Bistables,TCASI,2016,ok,4,supporting_detail,12,numbers -> problem_or_method -> numbers -> supporting_detail -> numbers -> supporting_detail -> evidence -> numbers -> evidence -> numbers,context-led opening,measurement/modeling gap,propose,quantified results|FPGA implementation|measurement,neutral/bounded,plain numeric (5 numeric tokens),,omitted: use role labels/templates instead of copying source wording,把问题写成可测量/可建模的 gap；数字集中放在证据句，不让开头变成流水账,不要把过多数字塞进摘要
rotrng_abs_01,Lightweight TRNG Based on Multiphase Timing of Bistables,TCASI,2016,ok,5,numbers,12,numbers -> problem_or_method -> numbers -> supporting_detail -> numbers -> supporting_detail -> evidence -> numbers -> evidence -> numbers,context-led opening,measurement/modeling gap,propose,quantified results|FPGA implementation|measurement,neutral/bounded,plain numeric (5 numeric tokens),,omitted: use role labels/templates instead of copying source wording,把问题写成可测量/可建模的 gap；数字集中放在证据句，不让开头变成流水账,不要把过多数字塞进摘要
rotrng_abs_01,Lightweight TRNG Based on Multiphase Timing of Bistables,TCASI,2016,ok,6,supporting_detail,12,numbers -> problem_or_method -> numbers -> supporting_detail -> numbers -> supporting_detail -> evidence -> numbers -> evidence -> numbers,context-led opening,measurement/modeling gap,propose,quantified results|FPGA implementation|measurement,neutral/bounded,plain numeric (5 numeric tokens),,omitted: use role labels/templates instead of copying source wording,把问题写成可测量/可建模的 gap；数字集中放在证据句，不让开头变成流水账,不要把过多数字塞进摘要
rotrng_abs_01,Lightweight TRNG Based on Multiphase Timing of Bistables,TCASI,2016,ok,7,evidence,12,numbers -> problem_or_method -> numbers -> supporting_detail -> numbers -> supporting_detail -> evidence -> numbers -> evidence -> numbers,context-led opening,measurement/modeling gap,propose,quantified results|FPGA implementation|measurement,neutral/bounded,plain numeric (5 numeric tokens),measured,omitted: use role labels/templates instead of copying source wording,把问题写成可测量/可建模的 gap；数字集中放在证据句，不让开头变成流水账,不要把过多数字塞进摘要
rotrng_abs_01,Lightweight TRNG Based on Multiphase Timing of Bistables,TCASI,2016,ok,8,numbers,12,numbers -> problem_or_method -> numbers -> supporting_detail -> numbers -> supporting_detail -> evidence -> numbers -> evidence -> numbers,context-led opening,measurement/modeling gap,propose,quantified results|FPGA implementation|measurement,neutral/bounded,plain numeric (5 numeric tokens),propose,omitted: use role labels/templates instead of copying source wording,把问题写成可测量/可建模的 gap；数字集中放在证据句，不让开头变成流水账,不要把过多数字塞进摘要
rotrng_abs_01,Lightweight TRNG Based on Multiphase Timing of Bistables,TCASI,2016,ok,9,numbers,12,numbers -> problem_or_method -> numbers -> supporting_detail -> numbers -> supporting_detail -> evidence -> numbers -> evidence -> numbers,context-led opening,measurement/modeling gap,propose,quantified results|FPGA implementation|measurement,neutral/bounded,plain numeric (5 numeric tokens),,omitted: use role labels/templates instead of copying source wording,把问题写成可测量/可建模的 gap；数字集中放在证据句，不让开头变成流水账,不要把过多数字塞进摘要
rotrng_abs_01,Lightweight TRNG Based on Multiphase Timing of Bistables,TCASI,2016,ok,10,numbers,12,numbers -> problem_or_method -> numbers -> supporting_detail -> numbers -> supporting_detail -> evidence -> numbers -> evidence -> numbers,context-led opening,measurement/modeling gap,propose,quantified results|FPGA implementation|measurement,neutral/bounded,plain numeric (5 numeric tokens),,omitted: use role labels/templates instead of copying source wording,把问题写成可测量/可建模的 gap；数字集中放在证据句，不让开头变成流水账,不要把过多数字塞进摘要
rotrng_abs_01,Lightweight TRNG Based on Multiphase Timing of Bistables,TCASI,2016,ok,11,evidence,12,numbers -> problem_or_method -> numbers -> supporting_detail -> numbers -> supporting_detail -> evidence -> numbers -> evidence -> numbers,context-led opening,measurement/modeling gap,propose,quantified results|FPGA implementation|measurement,neutral/bounded,plain numeric (5 numeric tokens),propose,omitted: use role labels/templates instead of copying source wording,把问题写成可测量/可建模的 gap；数字集中放在证据句，不让开头变成流水账,不要把过多数字塞进摘要
rotrng_abs_01,Lightweight TRNG Based on Multiphase Timing of Bistables,TCASI,2016,ok,12,numbers,12,numbers -> problem_or_method -> numbers -> supporting_detail -> numbers -> supporting_detail -> evidence -> numbers -> evidence -> numbers,context-led opening,measurement/modeling gap,propose,quantified results|FPGA implementation|measurement,neutral/bounded,plain numeric (5 numeric tokens),,omitted: use role labels/templates instead of copying source wording,把问题写成可测量/可建模的 gap；数字集中放在证据句，不让开头变成流水账,不要把过多数字塞进摘要
