status,venue_group,year,title,venue,doi,relevance,priority,file,pdf_source,failure_reason,candidate_count
downloaded,TCASI,2016,Lightweight TRNG Based on Multiphase Timing of Bistables,IEEE Transactions on Circuits and Systems I: Regular Papers,10.1109/tcsi.2016.2555248,TRNG/jitter/metastable-circuit related,primary,2016_TCASI_Lightweight_TRNG_Based_on_Multiphase_Timing_of_Bistables_10_1109_tcsi_2016_2555248.pdf,institutional_access_manual_download,downloaded from official publisher via user institutional access,0
downloaded,TCASI,2020,High-Throughput Portable True Random Number Generator Based on Jitter-Latch Structure,IEEE Transactions on Circuits and Systems I: Regular Papers,10.1109/tcsi.2020.3037173,TRNG/jitter-latch related,primary,2020_TCASI_High_Throughput_Portable_True_Random_Number_Generator_Based_on_Jitte_10_1109_tcsi_2020_3037173.pdf,institutional_access_manual_download,downloaded from official publisher via user institutional access,0
downloaded,TCASI,2020,A New Class of Digital Circuits for the Design of Entropy Sources in Programmable Logic,IEEE Transactions on Circuits and Systems I: Regular Papers,10.1109/tcsi.2020.2977920,digital entropy-source circuits,primary,2020_TCASI_A_New_Class_of_Digital_Circuits_for_the_Design_of_Entropy_Sources_in_10_1109_tcsi_2020_2977920.pdf,existing file,already present,4
downloaded,TCASI,2021,A New Energy-Efficient and High Throughput Two-Phase Multi-Bit per Cycle Ring Oscillator-Based True Random Number Generator,IEEE Transactions on Circuits and Systems I: Regular Papers,10.1109/tcsi.2021.3087512,explicit RO-TRNG,primary,2021_TCASI_A_New_Energy_Efficient_and_High_Throughput_Two_Phase_Multi_Bit_per_C_10_1109_tcsi_2021_3087512.pdf,institutional_access_manual_download,downloaded from official publisher via user institutional access,0
downloaded,TCASI,2022,TROT: A Three-Edge Ring Oscillator Based True Random Number Generator With Time-to-Digital Conversion,IEEE Transactions on Circuits and Systems I: Regular Papers,10.1109/tcsi.2022.3158022,explicit RO-TRNG,primary,2022_TCASI_TROT_A_Three_Edge_Ring_Oscillator_Based_True_Random_Number_Generator_10_1109_tcsi_2022_3158022.pdf,existing file,already present,2
downloaded,TCASI,2022,High-Throughput FPGA-Compatible TRNG Architecture Exploiting Multistimuli Metastable Cells,IEEE Transactions on Circuits and Systems I: Regular Papers,10.1109/tcsi.2022.3199218,metastable-cell TRNG related,primary,2022_TCASI_High_Throughput_FPGA_Compatible_TRNG_Architecture_Exploiting_Multist_10_1109_tcsi_2022_3199218.pdf,existing file,already present,2
downloaded,TCASI,2023,Design of True Random Number Generator Based on Multi-Ring Convergence Oscillator Using Short Pulse Enhanced Randomness,IEEE Transactions on Circuits and Systems I: Regular Papers,10.1109/tcsi.2023.3287162,explicit multi-ring oscillator TRNG,primary,2023_TCASI_Design_of_True_Random_Number_Generator_Based_on_Multi_Ring_Convergen_10_1109_tcsi_2023_3287162.pdf,institutional_access_manual_download,downloaded from official publisher via user institutional access,0
downloaded,TCASI,2024,Characterization of Oscillator Phase Noise Arising From Multiple Sources for ASIC True Random Number Generation,IEEE Transactions on Circuits and Systems I: Regular Papers,10.1109/tcsi.2023.3343114,oscillator phase-noise TRNG model,primary,2024_TCASI_Characterization_of_Oscillator_Phase_Noise_Arising_From_Multiple_Sou_10_1109_tcsi_2023_3343114.pdf,institutional_access_manual_download,downloaded from official publisher via user institutional access,0
downloaded,TCASII,2016,An Improved DCM-Based Tunable True Random Number Generator for Xilinx FPGA,IEEE Transactions on Circuits and Systems II: Express Briefs,10.1109/tcsii.2016.2566262,DCM/clock-manager TRNG related,primary,2016_TCASII_An_Improved_DCM_Based_Tunable_True_Random_Number_Generator_for_Xilin_10_1109_tcsii_2016_2566262.pdf,existing file,already present,2
downloaded,TCASII,2019,FPGA-Based True Random Number Generation Using Programmable Delays in Oscillator-Rings,IEEE Transactions on Circuits and Systems II: Express Briefs,10.1109/tcsii.2019.2919891,explicit oscillator-ring TRNG,primary,2019_TCASII_FPGA_Based_True_Random_Number_Generation_Using_Programmable_Delays_i_10_1109_tcsii_2019_2919891.pdf,institutional_access_manual_download,downloaded from official publisher via user institutional access,0
