venue_folder,id,title,old_pdf,new_pdf,old_note,new_note
01_TCASI,paper_01,Memristive Tabu Learning Neuron Generated Multi-Wing Attractor With FPGA Implementation and Application in Encryption,pdfs/paper_01.pdf,pdfs/2024_TCASI_memristive_tabu_learning_neuron_generated_multi_wing_attractor_with_fpga_impleme.pdf,notes/paper_01.md,notes/2024_TCASI_memristive_tabu_learning_neuron_generated_multi_wing_attractor_with_fpga_impleme.md
01_TCASI,paper_02,"A High-Reliability, Non-CRP-Discard Arbiter PUF Based on Delay Difference Quantization",pdfs/paper_02.pdf,pdfs/2024_TCASI_a_high_reliability_non_crp_discard_arbiter_puf_based_on_delay_difference_quantiz.pdf,notes/paper_02.md,notes/2024_TCASI_a_high_reliability_non_crp_discard_arbiter_puf_based_on_delay_difference_quantiz.md
01_TCASI,paper_03,A Heterogeneous RISC-V Based SoC for Secure Nano-UAV Navigation,pdfs/paper_03.pdf,pdfs/2024_TCASI_a_heterogeneous_risc_v_based_soc_for_secure_nano_uav_navigation.pdf,notes/paper_03.md,notes/2024_TCASI_a_heterogeneous_risc_v_based_soc_for_secure_nano_uav_navigation.md
01_TCASI,paper_04,Future Design Direction for SRAM Data Array: Hierarchical Subarray With Active Interconnect,pdfs/paper_04.pdf,pdfs/2024_TCASI_future_design_direction_for_sram_data_array_hierarchical_subarray_with_active_in.pdf,notes/paper_04.md,notes/2024_TCASI_future_design_direction_for_sram_data_array_hierarchical_subarray_with_active_in.md
01_TCASI,paper_05,Modeling and Predicting Noise-Induced Failure Rates in Ultra-Low-Voltage SRAM Bitcells Affected by Process Variations,pdfs/paper_05.pdf,pdfs/2025_TCASI_modeling_and_predicting_noise_induced_failure_rates_in_ultra_low_voltage_sram_bi.pdf,notes/paper_05.md,notes/2025_TCASI_modeling_and_predicting_noise_induced_failure_rates_in_ultra_low_voltage_sram_bi.md
01_TCASI,paper_06,A Low-Latency Power Series Approximate Computing and Architecture for Co-Calculation of Division and Square Root,pdfs/paper_06.pdf,pdfs/2024_TCASI_a_low_latency_power_series_approximate_computing_and_architecture_for_co_calcula.pdf,notes/paper_06.md,notes/2024_TCASI_a_low_latency_power_series_approximate_computing_and_architecture_for_co_calcula.md
01_TCASI,paper_07,High-Speed Polynomials Multiplication HW Accelerator for CRYSTALS-Kyber,pdfs/paper_07.pdf,pdfs/2024_TCASI_high_speed_polynomials_multiplication_hw_accelerator_for_crystals_kyber.pdf,notes/paper_07.md,notes/2024_TCASI_high_speed_polynomials_multiplication_hw_accelerator_for_crystals_kyber.md
01_TCASI,paper_08,ESSR: An 8K@30FPS Super-Resolution Accelerator With Edge Selective Network,pdfs/paper_08.pdf,pdfs/2024_TCASI_essr_an_8k_30fps_super_resolution_accelerator_with_edge_selective_network.pdf,notes/paper_08.md,notes/2024_TCASI_essr_an_8k_30fps_super_resolution_accelerator_with_edge_selective_network.md
01_TCASI,paper_09,Hybrid Spatial and Temporal Computing Histogrammer in Soft Processor Core of a FPGA Device,pdfs/paper_09.pdf,pdfs/2024_TCASI_hybrid_spatial_and_temporal_computing_histogrammer_in_soft_processor_core_of_a_f.pdf,notes/paper_09.md,notes/2024_TCASI_hybrid_spatial_and_temporal_computing_histogrammer_in_soft_processor_core_of_a_f.md
01_TCASI,paper_10,"FREYA: A 0.023-mm²/Channel, 20.8- μW/Channel, Event-Driven 8-Channel SoC for Spiking End-to-End Sensing of Time-Sparse Biosignals",pdfs/paper_10.pdf,pdfs/2024_TCASI_freya_a_0_023_mm2_channel_20_8_w_channel_event_driven_8_channel_soc_for_spiking.pdf,notes/paper_10.md,notes/2024_TCASI_freya_a_0_023_mm2_channel_20_8_w_channel_event_driven_8_channel_soc_for_spiking.md
